task,n_train,target_es,actual_es,kl,logit_diff,prob_diff
gp,200,1.05,0.9934114813804626,0.18340439769370412,2.511805821978857,
gp,200,1.1,0.9953546524047852,0.2594292044045808,1.7935347077707764,
gp,200,1.15,0.996326208114624,0.29784629550496383,1.9017289580491485,
gp,200,1.2,0.9969030618667603,0.3681550928457423,1.4359641907707092,
gp,200,1.4,0.9979050159454346,0.47626362844966547,1.0190671486829324,
gt,20,0.95,0.9730082750320435,0.09204172832903519,,0.6247909570782403
gt,20,0.955,0.9751943349838257,0.07131277909563258,,0.6103019103773084
gt,20,0.96,0.9776536226272583,0.07093483378587205,,0.6206125055823256
gt,20,0.965,0.9778054356575012,0.07445502415591596,,0.6470906222543491
gt,20,0.97,0.9804165363311768,0.09611024147544811,,0.5822430531889979
gt,20,0.975,0.9842421412467957,0.08025306818239829,,0.5988567806780338
gt,20,0.98,0.9853959083557129,0.12749810218811036,,0.5977686710241769
gt,20,0.985,0.9874301552772522,0.10282088056985848,,0.6036243752448582
gt,20,0.99,0.9877945184707642,0.12421890318004135,,0.5890597849816473
gt,20,0.995,0.9887053966522217,0.1214526101167685,,0.588319214041424
gt,20,1.0,0.9889786243438721,0.13252633458453844,,0.5615185122474347
gt,20,1.01,0.9905574321746826,0.16473526819274317,,0.5631242159924476
gt,20,1.02,0.9912557601928711,0.1672150436667056,,0.5249655803190727
gt,20,1.05,0.9933204054832458,0.22734259458538753,,0.5178167951116764
gt,20,1.1,0.994717001914978,0.2731228123887692,,0.4951288288300918
gt,50,0.95,0.9730082750320435,0.09204175220985039,,0.6247910004936986
gt,50,0.955,0.9751943349838257,0.07131275231736937,,0.6103018421557994
gt,50,0.96,0.9776536226272583,0.07093486314505533,,0.6206125508531246
gt,50,0.965,0.9778054356575012,0.07445502467696963,,0.6470905923960255
gt,50,0.97,0.9804165363311768,0.0961103182602552,,0.5822430766315437
gt,50,0.975,0.9842421412467957,0.08025308810417948,,0.598856511602507
gt,50,0.98,0.9853959083557129,0.12749808027463802,,0.5977689865952224
gt,50,0.985,0.9874301552772522,0.10282090279985877,,0.603624214358579
gt,50,0.99,0.9877945184707642,0.1242189519935184,,0.5890597265286773
gt,50,0.995,0.9887053966522217,0.12145254594438216,,0.5883189856713893
gt,50,1.0,0.9889786243438721,0.1325263078501022,,0.5615187379683739
gt,50,1.01,0.9905574321746826,0.1647353812857391,,0.5631241880162479
gt,50,1.02,0.9912557601928711,0.16721503602133858,,0.5249654565103887
gt,50,1.05,0.9933204054832458,0.22734274002266866,,0.517817059186062
gt,50,1.1,0.994717001914978,0.2731228503331639,,0.49512881492964583
gt,100,0.95,0.9701238870620728,0.040701152574197916,,0.6536472344223191
gt,100,0.955,0.9731296896934509,0.04043729647604469,,0.6375829344968391
gt,100,0.96,0.9733725786209106,0.03832812237681127,,0.6356172205673324
gt,100,0.965,0.9770463705062866,0.0461247550360128,,0.6361023718454674
gt,100,0.97,0.9802951216697693,0.04706989497530694,,0.6456331345356173
gt,100,0.975,0.9839992523193359,0.05526817867568895,,0.6305677072577227
gt,100,0.98,0.9855173826217651,0.06025811211735595,,0.6285821094548975
gt,100,0.985,0.9860334992408752,0.06530197626040651,,0.6211941979630711
gt,100,0.99,0.9873087406158447,0.07324719657890158,,0.633669548033694
gt,100,0.995,0.98809814453125,0.07574438291534878,,0.6236722091225043
gt,100,1.0,0.9887357354164124,0.0777565511515717,,0.5975311839137397
gt,100,1.01,0.9900413155555725,0.08792858688659917,,0.6109076791704675
gt,100,1.02,0.9905574321746826,0.09828137033710292,,0.5930298404122879
gt,100,1.05,0.9922273755073547,0.1406414532875703,,0.5922298833386961
gt,100,1.1,0.9939883351325989,0.21946249501962287,,0.5151722107106954
gt,200,0.95,0.9683628678321838,0.04101873439511443,,0.664212385255819
gt,200,0.955,0.9730386137962341,0.04030412045958775,,0.6280113177191393
gt,200,0.96,0.9751335978507996,0.03859940508222268,,0.6254697127352937
gt,200,0.965,0.9772589206695557,0.041305445718999,,0.6349954958639893
gt,200,0.97,0.9797789454460144,0.04196470090084606,,0.6309928259915776
gt,200,0.975,0.982966959476471,0.055147934992328965,,0.622946074678033
gt,200,0.98,0.98524409532547,0.05950543112030216,,0.6112897780669087
gt,200,0.985,0.9863978624343872,0.0660084998929033,,0.595786512324136
gt,200,0.99,0.9875819683074951,0.06380268807212512,,0.6117888227056444
gt,200,0.995,0.9883410334587097,0.07973513701577592,,0.6036687045997264
gt,200,1.0,0.9884928464889526,0.07734680526883773,,0.5931900413426893
gt,200,1.01,0.9899805784225464,0.09173831611969113,,0.603495230598777
gt,200,1.02,0.991195023059845,0.11661963686833973,,0.5633729294137237
gt,200,1.05,0.9926220774650574,0.14790833235955705,,0.5548330243774294
gt,200,1.1,0.994413435459137,0.2373520285085915,,0.5256299314496954
ioi,20,0.94,0.9536677002906799,0.33744397879030075,1.1311904579291996,
ioi,20,0.945,0.9581612944602966,0.29237086900369796,1.653709807848933,
ioi,20,0.95,0.9602866172790527,0.3376025789756829,1.651755792393466,
ioi,20,0.955,0.9618654251098633,0.36819839362678786,1.2479306014754161,
ioi,20,0.96,0.9660857319831848,0.41855855419741533,1.4129663915013595,
ioi,20,0.965,0.9680289030075073,0.3657489627592593,1.3727360953646137,
ioi,20,0.97,0.9699417352676392,0.3439264723905216,2.046223175180763,
ioi,20,0.975,0.9700934886932373,0.5264622628583612,0.8216632148033103,
ioi,20,0.98,0.9723402857780457,0.4709738243327165,1.3405041606367303,
ioi,20,0.985,0.9734029769897461,0.6583869320134699,0.12439350182723873,
ioi,20,0.99,0.9749817848205566,0.4651472872362276,1.5890992662222392,
ioi,20,0.995,0.9755890369415283,0.45844806561589474,1.9212335488865215,
ioi,20,1.01,0.9768945574760437,0.6433199891705335,0.2602515332173672,
ioi,20,1.0,0.9771071076393127,0.5267700834118278,1.1888652201463188,
ioi,20,1.02,0.979293167591095,0.6102673063927466,1.2259035271163685,
ioi,20,1.05,0.9822078943252563,0.6188178672647277,1.3006110993209719,
ioi,20,1.1,0.9842725396156311,0.9150628177996792,0.6341586564916846,
ioi,50,0.94,0.9501153826713562,0.1950124938597445,2.5594254013651847,
ioi,50,0.945,0.9543052911758423,0.2390392003960978,2.435202627009688,
ioi,50,0.95,0.9573414921760559,0.22407877655203423,2.9454432155430257,
ioi,50,0.955,0.9606813192367554,0.2473239914278274,2.496770798505879,
ioi,50,0.96,0.9618958234786987,0.2729475490350559,2.286782414933528,
ioi,50,0.965,0.9661768078804016,0.27155431975790606,3.0685708615034835,
ioi,50,0.97,0.9664196968078613,0.3136780978445251,2.555985571367885,
ioi,50,0.975,0.9695469737052917,0.33913408707093917,2.375431330475439,
ioi,50,0.98,0.9696987867355347,0.31706364774836115,2.482844724529348,
ioi,50,0.985,0.971581220626831,0.34154474216856295,2.4555172094047606,
ioi,50,0.99,0.9717937707901001,0.3570240356710157,2.606803887911375,
